# from image history
IMAGE          CREATED          CREATED BY                                      SIZE      COMMENT
6a67e55dd7bb   14 minutes ago   CMD ["serve" "-s" "-l" "5000" "build"]          0B        buildkit.dockerfile.v0
<missing>      14 minutes ago   USER appuser                                    0B        buildkit.dockerfile.v0
<missing>      14 minutes ago   RUN /bin/sh -c chown appuser . # buildkit       0B        buildkit.dockerfile.v0
<missing>      14 minutes ago   RUN /bin/sh -c useradd -m appuser # buildkit    334kB     buildkit.dockerfile.v0
<missing>      3 days ago       RUN /bin/sh -c npm install -g serve # buildk…   6.77MB    buildkit.dockerfile.v0
<missing>      3 days ago       RUN /bin/sh -c npm run build # buildkit         8.68MB    buildkit.dockerfile.v0
<missing>      2 weeks ago      RUN /bin/sh -c npm install # buildkit           346MB     buildkit.dockerfile.v0
<missing>      2 weeks ago      RUN /bin/sh -c apt install -y nodejs # build…   98MB      buildkit.dockerfile.v0
<missing>      2 weeks ago      RUN /bin/sh -c curl -sL https://deb.nodesour…   6.61MB    buildkit.dockerfile.v0
<missing>      2 weeks ago      RUN /bin/sh -c apt-get update && apt-get ins…   85.3MB    buildkit.dockerfile.v0
<missing>      2 weeks ago      COPY . . # buildkit                             707kB     buildkit.dockerfile.v0
<missing>      2 weeks ago      EXPOSE map[5000/tcp:{}]                         0B        buildkit.dockerfile.v0
<missing>      3 weeks ago      WORKDIR /usr/src/app                            0B        buildkit.dockerfile.v0
<missing>      5 weeks ago      /bin/sh -c #(nop)  CMD ["/bin/bash"]            0B
<missing>      5 weeks ago      /bin/sh -c #(nop) ADD file:21c2e8d95909bec6f…   77.9MB
<missing>      5 weeks ago      /bin/sh -c #(nop)  LABEL org.opencontainers.…   0B
<missing>      5 weeks ago      /bin/sh -c #(nop)  LABEL org.opencontainers.…   0B
<missing>      5 weeks ago      /bin/sh -c #(nop)  ARG LAUNCHPAD_BUILD_ARCH     0B
<missing>      5 weeks ago      /bin/sh -c #(nop)  ARG RELEASE                  0B

# from docker images
frontend                                     latest            6a67e55dd7bb   13 minutes ago   630MB
